title	lat	lng	zoom	geo3x3	description
1	35.9246749	136.1843777	19	E9138498899492971955	<a href=https://geo3x3.com/#E9138498899492971955>E9138498899492971955</a>
2	35.9204307	136.1800325	19	E9138498894359189944	<a href=https://geo3x3.com/#E9138498894359189944>E9138498894359189944</a>
3	35.9194149	136.188805	19	E9138498971948397892	<a href=https://geo3x3.com/#E9138498971948397892>E9138498971948397892</a>
4	35.9168162	136.1842221	19	E9138498893131199539	<a href=https://geo3x3.com/#E9138498893131199539>E9138498893131199539</a>
5	35.9133101	136.1817437	19	E9138498865849271994	<a href=https://geo3x3.com/#E9138498865849271994>E9138498865849271994</a>
6	35.9130817	136.1899363	19	E9138498945743392188	<a href=https://geo3x3.com/#E9138498945743392188>E9138498945743392188</a>
7	35.9108988	136.1791849	19	E9138498864234971396	<a href=https://geo3x3.com/#E9138498864234971396>E9138498864234971396</a>
8	35.9096149	136.1877511	19	E9138498941578567291	<a href=https://geo3x3.com/#E9138498941578567291>E9138498941578567291</a>
9	35.9053329	136.1761326	19	E9138498829291674148	<a href=https://geo3x3.com/#E9138498829291674148>E9138498829291674148</a>
10	35.9055892	136.1800432	19	E9138498837389769464	<a href=https://geo3x3.com/#E9138498837389769464>E9138498837389769464</a>
11	35.9036774	136.185472	19	E9138498836833875289	<a href=https://geo3x3.com/#E9138498836833875289>E9138498836833875289</a>
12	35.9014091	136.175521	19	E9138498823875764946	<a href=https://geo3x3.com/#E9138498823875764946>E9138498823875764946</a>
13	35.9304775	136.1857181	19	E9138732236645297545	<a href=https://geo3x3.com/#E9138732236645297545>E9138732236645297545</a>
